"ORDRE","NOM","GENERE","ANY","FREQ‹»NCIA"
13,"CLAUDIA","Dona",2014,83
14,"OLIVIA","Dona",2014,72
15,"AINA","Dona",2014,71
16,"DANIELA","Dona",2014,68
17,"ALBA","Dona",2014,67
18,"CLARA","Dona",2014,60
19,"JANA","Dona",2014,58
20,"NORA","Dona",2014,58
21,"SARA","Dona",2014,57
22,"ARLET","Dona",2014,55
23,"BERTA","Dona",2014,51
24,"ANNA","Dona",2014,49
25,"CARLOTA","Dona",2014,48
1,"EMMA","Dona",2015,145
2,"JULIA","Dona",2015,123
3,"LUCIA","Dona",2015,120
4,"MARTINA","Dona",2015,116
5,"MARIA","Dona",2015,106
6,"SOFIA","Dona",2015,104
7,"LAIA","Dona",2015,103
8,"NOA","Dona",2015,98
9,"AINA","Dona",2015,92
10,"PAULA","Dona",2015,91
11,"CARLA","Dona",2015,85
12,"VALENTINA","Dona",2015,84
13,"CLAUDIA","Dona",2015,77
14,"ONA","Dona",2015,77
15,"ALBA","Dona",2015,73
16,"OLIVIA","Dona",2015,71
17,"SARA","Dona",2015,65
18,"ABRIL","Dona",2015,62
19,"CLARA","Dona",2015,59
20,"MIA","Dona",2015,57
21,"JANA","Dona",2015,55
22,"INES","Dona",2015,52
23,"ARLET","Dona",2015,50
24,"CARLOTA","Dona",2015,50
25,"ARIADNA","Dona",2015,45
1,"JULIA","Dona",2016,137
2,"LAIA","Dona",2016,129
3,"LUCIA","Dona",2016,122
4,"SOFIA","Dona",2016,122
5,"EMMA","Dona",2016,119
6,"MARIA","Dona",2016,103
7,"MARTINA","Dona",2016,103
8,"NOA","Dona",2016,102
9,"PAULA","Dona",2016,94
10,"CARLA","Dona",2016,81
11,"ONA","Dona",2016,79
12,"AINA","Dona",2016,74
13,"CLAUDIA","Dona",2016,68
14,"VALENTINA","Dona",2016,68
15,"MIA","Dona",2016,65
16,"OLIVIA","Dona",2016,65
17,"ALBA","Dona",2016,63
18,"CLARA","Dona",2016,63
19,"CHLOE","Dona",2016,62
20,"ABRIL","Dona",2016,60
21,"SARA","Dona",2016,57
22,"ARIADNA","Dona",2016,55
23,"DANIELA","Dona",2016,55
24,"VALERIA","Dona",2016,55
25,"ARLET","Dona",2016,54
1,"MARC","Home",1996,295
2,"DAVID","Home",1996,198
3,"DANIEL","Home",1996,174
4,"ALBERT","Home",1996,151
5,"VICTOR","Home",1996,145
6,"JORDI","Home",1996,143
7,"SERGI","Home",1996,137
8,"ALEJANDRO","Home",1996,132
9,"POL","Home",1996,123
10,"ALEX","Home",1996,113
11,"PAU","Home",1996,103
12,"GUILLEM","Home",1996,100
13,"CARLOS","Home",1996,97
14,"ORIOL","Home",1996,97
15,"ADRIA","Home",1996,92
16,"ROGER","Home",1996,91
17,"OSCAR","Home",1996,90
18,"JAVIER","Home",1996,88
19,"GERARD","Home",1996,85
20,"ARNAU","Home",1996,84
21,"IVAN","Home",1996,80
22,"XAVIER","Home",1996,79
23,"JOAN","Home",1996,76
24,"ERIC","Home",1996,75
25,"PABLO","Home",1996,74
1,"MARC","Home",1997,348
2,"DAVID","Home",1997,183
3,"DANIEL","Home",1997,163
4,"VICTOR","Home",1997,150
5,"ALEX","Home",1997,148
6,"POL","Home",1997,143
7,"ALEJANDRO","Home",1997,128
8,"ALBERT","Home",1997,126
9,"PAU","Home",1997,125
10,"SERGI","Home",1997,120
11,"ORIOL","Home",1997,115
12,"JORDI","Home",1997,112
13,"GERARD","Home",1997,104
14,"JOAN","Home",1997,103
15,"ARNAU","Home",1997,101
16,"GUILLEM","Home",1997,100
17,"ADRIA","Home",1997,98
18,"ROGER","Home",1997,98
19,"OSCAR","Home",1997,92
20,"JAVIER","Home",1997,85
21,"XAVIER","Home",1997,84
22,"IVAN","Home",1997,81
23,"ERIC","Home",1997,80
24,"CARLOS","Home",1997,76
25,"ADRIAN","Home",1997,72
1,"MARC","Home",1998,330
2,"DAVID","Home",1998,184
3,"ALEX","Home",1998,174
4,"DANIEL","Home",1998,159
